date,ticker,price,volume,market_cap,tx_count,tx_volume,DAA,NVT,hash_rate,fees,volatility,liquidity
2012-02-01,BTC,5.99,14.0,48383690.0,21779.0,30603.0,56416.0,500.0,38887.93,5.0,1.6394,0.005
2012-02-02,BTC,6.26,124.0,50580223.0,19131.0,23305.0,56611.0,500.0,23651.32,14.0,1.6352,0.005
2012-02-03,BTC,6.29,283.0,50838327.0,17482.0,49914.0,56804.0,500.0,28362.94,8.0,1.6276,0.005
2012-02-04,BTC,6.5,68.0,52551863.0,18089.0,16294.0,56996.0,500.0,17096.6,11.0,1.5448,0.005
2012-02-05,BTC,5.7,50.0,46098175.0,20506.0,13364.0,57186.0,500.0,14975.96,7.0,1.6068,0.005
2012-02-06,BTC,5.9,26.0,47730388.0,22928.0,35898.0,57375.0,500.0,42969.64,4.0,1.5961,0.005
2012-02-07,BTC,5.51,151.0,44589088.0,23539.0,34347.0,57562.0,500.0,22434.27,26.0,1.6107,0.005
2012-02-08,BTC,5.66,58.0,45817080.0,21888.0,61519.0,57748.0,500.0,37798.26,18.0,1.6008,0.005
2012-02-09,BTC,5.87,102.0,47531665.0,19227.0,33604.0,57933.0,500.0,17194.35,21.0,1.569,0.005
2012-02-10,BTC,5.88,203.0,47627322.0,17570.0,33058.0,58115.0,500.0,19709.39,23.0,1.5685,0.005
2012-02-11,BTC,5.5,2.0,44563100.0,18179.0,20837.0,58296.0,500.0,22346.29,4.0,1.5657,0.005
2012-02-12,BTC,5.55,35.0,44982078.0,20609.0,47084.0,58475.0,500.0,26141.88,8.0,1.5503,0.005
2012-02-13,BTC,5.79,130.0,46941708.0,23042.0,21150.0,58653.0,500.0,28390.76,7.0,1.5385,0.005
2012-02-14,BTC,4.56,124.0,36981022.0,23657.0,36606.0,58828.0,500.0,34516.33,20.0,1.6477,0.005
2012-02-15,BTC,4.69,72.0,38047017.0,21997.0,20968.0,59002.0,500.0,14425.45,8.0,1.6535,0.005
2012-02-16,BTC,4.98,95.0,40412040.0,19323.0,42122.0,59174.0,500.0,32843.05,14.0,1.6707,0.005
2012-02-17,BTC,4.69,262.0,38070440.0,17658.0,19419.0,59344.0,500.0,21040.3,8.0,1.6748,0.005
2012-02-18,BTC,4.38,253.0,35564994.0,18270.0,9971.0,59511.0,500.0,18793.37,2.0,1.6068,0.005
2012-02-19,BTC,4.38,98.0,35575932.0,20712.0,31543.0,59677.0,500.0,31796.7,9.0,1.4954,0.005
2012-02-20,BTC,4.4,249.0,35749366.0,23158.0,28728.0,59841.0,500.0,24507.18,7.0,1.4959,0.005
2012-02-21,BTC,4.53,411.0,36816909.0,23775.0,38121.0,60003.0,500.0,28297.09,16.0,1.5028,0.005
2012-02-22,BTC,4.57,59.0,37153415.0,22108.0,36937.0,60162.0,500.0,16081.46,29.0,1.4988,0.005
2012-02-23,BTC,5.0,377.0,40661736.0,19420.0,28411.0,60319.0,500.0,32890.51,21.0,1.5407,0.005
2012-02-24,BTC,5.12,400.0,41650403.0,17747.0,36688.0,60474.0,500.0,27722.98,20.0,1.5176,0.005
2012-02-25,BTC,5.0,126.0,40686708.0,18362.0,25730.0,60627.0,500.0,34041.49,17.0,1.5096,0.005
2012-02-26,BTC,4.96,29.0,40373600.0,20816.0,42839.0,60777.0,500.0,27265.71,25.0,1.4952,0.005
2012-02-27,BTC,5.1,311.0,41525912.0,23274.0,12499.0,60925.0,500.0,22100.99,2.0,1.3784,0.005
2012-02-28,BTC,4.71,358.0,38362163.0,23894.0,28602.0,61071.0,500.0,18357.24,19.0,1.2069,0.005
2012-02-29,BTC,4.99,292.0,40655177.0,22219.0,11844.0,61214.0,500.0,24652.63,9.0,1.2141,0.005
2012-03-01,BTC,5.03,243.0,40993630.0,19517.0,44938.0,61355.0,500.0,50584.39,16.0,1.2145,0.005
2012-03-02,BTC,4.79,336.0,39049633.0,17836.0,24004.0,61493.0,500.0,25756.52,5.0,1.1891,0.005
2012-03-03,BTC,4.65,126.0,37919919.0,18454.0,24982.0,61629.0,500.0,20294.99,19.0,1.1776,0.005
2012-03-04,BTC,4.81,114.0,39236702.0,20921.0,29772.0,61762.0,500.0,25248.69,6.0,1.1861,0.005
2012-03-05,BTC,5.0,341.0,40799078.0,23391.0,38671.0,61893.0,500.0,31122.05,21.0,1.1889,0.005
2012-03-06,BTC,4.99,215.0,40729940.0,24014.0,58783.0,62021.0,500.0,16161.25,19.0,1.1123,0.005
2012-03-07,BTC,5.01,607.0,40905697.0,22330.0,24228.0,62147.0,500.0,28218.42,11.0,1.1043,0.005
2012-03-08,BTC,5.0,315.0,40836535.0,19615.0,19687.0,62269.0,500.0,32768.2,14.0,1.0811,0.005
2012-03-09,BTC,5.07,306.0,41420907.0,17925.0,11165.0,62389.0,500.0,28678.77,5.0,1.0776,0.005
2012-03-10,BTC,4.94,121.0,40371168.0,18546.0,17746.0,62507.0,500.0,41782.85,6.0,1.0712,0.005
2012-03-11,BTC,5.0,25.0,40873992.0,21025.0,27490.0,62621.0,500.0,42581.65,14.0,1.0725,0.005
2012-03-12,BTC,4.98,105.0,40722931.0,23508.0,33605.0,62733.0,500.0,27454.51,10.0,1.0498,0.005
2012-03-13,BTC,5.28,724.0,43189305.0,24135.0,52564.0,62842.0,500.0,39176.6,16.0,1.0714,0.005
2012-03-14,BTC,5.27,1145.0,43120667.0,22442.0,40954.0,62948.0,500.0,36709.25,20.0,1.0599,0.005
2012-03-15,BTC,5.37,589.0,43952305.0,19713.0,50612.0,63051.0,500.0,26929.11,27.0,0.7392,0.005
2012-03-16,BTC,5.39,182.0,44129460.0,18015.0,43494.0,63152.0,500.0,42636.88,23.0,0.7348,0.005
2012-03-17,BTC,5.42,163.0,44388613.0,18639.0,39638.0,63249.0,500.0,46589.64,20.0,0.706,0.005
2012-03-18,BTC,5.24,380.0,42927537.0,21131.0,46942.0,63344.0,500.0,23995.96,27.0,0.6835,0.005
2012-03-19,BTC,4.97,265.0,40728033.0,23626.0,52933.0,63435.0,500.0,35016.11,9.0,0.6663,0.005
2012-03-20,BTC,4.8,417.0,39346907.0,24256.0,14188.0,63524.0,500.0,36003.77,3.0,0.68,0.005
2012-03-21,BTC,4.96,56.0,40670857.0,22554.0,48777.0,63609.0,500.0,32080.08,37.0,0.6878,0.005
2012-03-22,BTC,4.8,282.0,39370880.0,19812.0,10839.0,63692.0,500.0,22510.02,4.0,0.6934,0.005
2012-03-23,BTC,4.78,508.0,39218771.0,18105.0,19204.0,63772.0,500.0,23487.38,7.0,0.6934,0.005
2012-03-24,BTC,4.72,1.0,38738271.0,18733.0,11151.0,63848.0,500.0,52316.83,7.0,0.6102,0.005
2012-03-25,BTC,4.54,206.0,37272301.0,21237.0,15432.0,63922.0,500.0,18349.06,7.0,0.616,0.005
2012-03-26,BTC,4.68,64.0,38433354.0,23744.0,15174.0,63992.0,500.0,27056.31,7.0,0.623,0.005
2012-03-27,BTC,4.73,363.0,38855778.0,24377.0,19954.0,64060.0,500.0,28018.24,5.0,0.624,0.005
2012-03-28,BTC,4.87,423.0,40018004.0,22667.0,11690.0,64124.0,500.0,22236.98,3.0,0.6248,0.005
2012-03-29,BTC,4.77,47.0,39208191.0,19911.0,36232.0,64185.0,500.0,23573.51,23.0,0.5677,0.005
2012-03-30,BTC,4.88,228.0,40124549.0,18196.0,35955.0,64244.0,500.0,40242.42,11.0,0.5335,0.005
2012-03-31,BTC,4.92,154.0,40465724.0,18827.0,12298.0,64299.0,500.0,29631.2,5.0,0.5336,0.005
2012-04-01,BTC,4.89,313.0,40231193.0,21343.0,36376.0,64350.0,500.0,27752.24,19.0,0.5061,0.005
2012-04-02,BTC,5.03,873.0,41395567.0,23863.0,58349.0,64399.0,500.0,46414.31,16.0,0.5028,0.005
2012-04-03,BTC,4.95,117.0,40749549.0,24499.0,38311.0,64445.0,500.0,26248.15,9.0,0.4938,0.005
2012-04-04,BTC,4.91,432.0,40432520.0,22781.0,18396.0,64487.0,500.0,43962.34,7.0,0.4749,0.005
2012-04-05,BTC,4.9,171.0,40362409.0,20011.0,21274.0,64526.0,500.0,26344.7,14.0,0.4749,0.005
2012-04-06,BTC,4.98,924.0,41033823.0,18287.0,37701.0,64562.0,500.0,27673.35,27.0,0.4783,0.005
2012-04-07,BTC,4.7,274.0,38738436.0,18921.0,33073.0,64595.0,500.0,34054.4,11.0,0.5171,0.005
2012-04-08,BTC,4.76,180.0,39244856.0,21450.0,22346.0,64625.0,500.0,19816.24,6.0,0.5166,0.005
2012-04-09,BTC,4.85,59.0,39998992.0,23983.0,16439.0,64652.0,500.0,31303.16,7.0,0.5141,0.005
2012-04-10,BTC,4.8,415.0,39598617.0,24622.0,53567.0,64675.0,500.0,32072.78,31.0,0.5132,0.005
2012-04-11,BTC,4.88,262.0,40270780.0,22895.0,12764.0,64696.0,500.0,50588.65,6.0,0.5168,0.005
2012-04-12,BTC,4.86,693.0,40117872.0,20112.0,46542.0,64713.0,500.0,36843.19,24.0,0.4683,0.005
2012-04-13,BTC,4.89,1011.0,40377724.0,18379.0,36000.0,64727.0,500.0,21148.56,27.0,0.4693,0.005
2012-04-14,BTC,4.98,741.0,41133308.0,19016.0,46532.0,64737.0,500.0,19484.77,32.0,0.469,0.005
2012-04-15,BTC,4.92,178.0,40650012.0,21558.0,13220.0,64745.0,500.0,29940.06,45.0,0.4697,0.005
2012-04-16,BTC,4.94,472.0,40827591.0,24103.0,53671.0,64749.0,500.0,31654.87,23.0,0.4694,0.005
2012-04-17,BTC,4.99,350.0,41253287.0,24746.0,19147.0,64751.0,500.0,24835.44,6.0,0.4582,0.005
2012-04-18,BTC,5.11,826.0,42258110.0,23010.0,52617.0,64749.0,500.0,23004.41,39.0,0.429,0.005
2012-04-19,BTC,5.16,522.0,42684479.0,20212.0,19008.0,64744.0,500.0,35589.41,8.0,0.4103,0.005
2012-04-20,BTC,5.19,394.0,42945605.0,18471.0,25588.0,64736.0,500.0,37013.52,10.0,0.3954,0.005
2012-04-21,BTC,5.26,336.0,43537968.0,19111.0,19738.0,64725.0,500.0,46559.89,5.0,0.3777,0.005
2012-04-22,BTC,5.18,137.0,42888728.0,21666.0,16074.0,64710.0,500.0,48446.22,7.0,0.3824,0.005
2012-04-23,BTC,5.15,655.0,42653198.0,24224.0,16920.0,64693.0,500.0,67725.93,12.0,0.3796,0.005
2012-04-24,BTC,5.11,2192.0,42334672.0,24870.0,37095.0,64673.0,500.0,36689.44,29.0,0.3519,0.005
2012-04-25,BTC,4.9,1583.0,40607126.0,23125.0,26655.0,64649.0,500.0,43073.66,7.0,0.372,0.005
2012-04-26,BTC,5.08,363.0,42111502.0,20314.0,46988.0,64623.0,500.0,64059.04,32.0,0.3905,0.005
2012-04-27,BTC,5.04,1253.0,41792501.0,18564.0,37607.0,64593.0,500.0,33656.02,15.0,0.3796,0.005
2012-04-28,BTC,4.85,200.0,40229101.0,19207.0,15563.0,64560.0,500.0,29826.96,4.0,0.3964,0.005
2012-04-29,BTC,4.91,68.0,40739041.0,21774.0,38737.0,64525.0,500.0,15429.07,27.0,0.3906,0.005
2012-04-30,BTC,5.0,491.0,41498271.0,24345.0,28687.0,64486.0,500.0,40503.48,4.0,0.3947,0.005
2012-05-01,BTC,4.97,832.0,41261692.0,24994.0,42882.0,64445.0,500.0,44574.21,27.0,0.3947,0.005
2012-05-02,BTC,5.08,473.0,42187614.0,23241.0,15614.0,64400.0,500.0,61498.19,7.0,0.3895,0.005
2012-05-03,BTC,5.1,653.0,42366443.0,20415.0,41533.0,64353.0,500.0,38616.69,32.0,0.3851,0.005
2012-05-04,BTC,5.1,676.0,42379178.0,18657.0,36916.0,64303.0,500.0,26670.78,28.0,0.3837,0.005
2012-05-05,BTC,5.04,504.0,41893185.0,19303.0,42116.0,64249.0,500.0,79439.27,23.0,0.3863,0.005
2012-05-06,BTC,5.05,1207.0,41988917.0,21883.0,20008.0,64193.0,500.0,25604.51,11.0,0.3824,0.005
2012-05-07,BTC,5.06,831.0,42084698.0,24467.0,32435.0,64135.0,500.0,34817.57,17.0,0.3227,0.005
2012-05-08,BTC,5.04,659.0,41930941.0,25120.0,62523.0,64073.0,500.0,37334.03,37.0,0.3213,0.005
2012-05-09,BTC,5.04,309.0,41943527.0,23358.0,44489.0,64008.0,500.0,64053.34,32.0,0.3155,0.005
2012-05-10,BTC,5.01,914.0,41706373.0,20518.0,34176.0,63941.0,500.0,33520.81,9.0,0.3139,0.005
2012-05-11,BTC,4.93,453.0,41052714.0,18750.0,19690.0,63871.0,500.0,30824.8,2.0,0.3147,0.005
2012-05-12,BTC,4.97,103.0,41398210.0,19400.0,21052.0,63799.0,500.0,45763.1,16.0,0.3154,0.005
2012-05-13,BTC,4.94,585.0,41160657.0,21993.0,50651.0,63724.0,500.0,64890.1,26.0,0.3157,0.005
2012-05-14,BTC,4.99,707.0,41589723.0,24590.0,41858.0,63646.0,500.0,44652.83,6.0,0.311,0.005
2012-05-15,BTC,4.95,613.0,41268700.0,25245.0,42527.0,63565.0,500.0,40888.27,31.0,0.3094,0.005
2012-05-16,BTC,5.04,167.0,42031625.0,23475.0,40325.0,63482.0,500.0,47663.09,16.0,0.3154,0.005
2012-05-17,BTC,5.03,622.0,41960789.0,20621.0,50196.0,63397.0,500.0,37795.08,36.0,0.3137,0.005
2012-05-18,BTC,5.06,878.0,42223688.0,18844.0,30691.0,63309.0,500.0,54295.3,17.0,0.3027,0.005
2012-05-19,BTC,5.05,181.0,42152852.0,19497.0,18133.0,63218.0,500.0,64686.21,3.0,0.3006,0.005
2012-05-20,BTC,5.08,48.0,42415951.0,22103.0,38183.0,63126.0,500.0,46785.98,14.0,0.3006,0.005
2012-05-21,BTC,5.01,252.0,41843990.0,24713.0,36835.0,63030.0,500.0,61029.77,5.0,0.2996,0.005
2012-05-22,BTC,5.07,562.0,42357776.0,25372.0,43564.0,62933.0,500.0,49522.85,11.0,0.2989,0.005
2012-05-23,BTC,5.08,738.0,42454007.0,23592.0,56971.0,62833.0,500.0,65927.69,40.0,0.2984,0.005
2012-05-24,BTC,5.12,910.0,42801076.0,20724.0,44439.0,62730.0,500.0,56641.98,318.0,0.2985,0.005
2012-05-25,BTC,5.09,203.0,42562998.0,18939.0,34748.0,62626.0,500.0,28381.33,19.0,0.26,0.005
2012-05-26,BTC,5.07,493.0,42408417.0,19595.0,35570.0,62519.0,500.0,44957.22,11.0,0.227,0.005
2012-05-27,BTC,5.06,906.0,42337407.0,22214.0,55696.0,62411.0,500.0,33397.24,39.0,0.2253,0.005
2012-05-28,BTC,5.08,175.0,42517434.0,24837.0,41101.0,62300.0,500.0,22324.23,33.0,0.2,0.005
2012-05-29,BTC,5.12,1330.0,42865002.0,25499.0,14760.0,62187.0,500.0,37539.34,2.0,0.2,0.005
2012-05-30,BTC,5.13,455.0,42961533.0,23711.0,20608.0,62072.0,500.0,45008.1,10.0,0.2,0.005
2012-05-31,BTC,5.14,1081.0,43058114.0,20828.0,12537.0,61955.0,500.0,66971.06,7.0,0.2,0.005
2012-06-01,BTC,5.22,788.0,43741314.0,19033.0,47658.0,61836.0,500.0,35117.07,10.0,0.2,0.005
2012-06-02,BTC,5.21,213.0,43670528.0,19693.0,33691.0,61715.0,500.0,69326.75,22.0,0.2,0.005
2012-06-03,BTC,5.19,19.0,43515847.0,22326.0,32663.0,61592.0,500.0,67684.09,24.0,0.2,0.005
2012-06-04,BTC,5.23,1341.0,43864289.0,24962.0,59032.0,61468.0,500.0,38205.12,11.0,0.2,0.005
2012-06-05,BTC,5.33,918.0,44716304.0,25627.0,22344.0,61342.0,500.0,49658.12,15.0,0.2,0.005
2012-06-06,BTC,5.48,726.0,45988421.0,23830.0,54223.0,61214.0,500.0,37014.54,37.0,0.2,0.005
2012-06-07,BTC,5.48,1153.0,46002105.0,20932.0,30393.0,61084.0,500.0,29733.08,21.0,0.2,0.005
2012-06-08,BTC,5.61,1682.0,47107405.0,19129.0,31681.0,60953.0,500.0,34787.67,13.0,0.2,0.005
2012-06-09,BTC,5.54,296.0,46533446.0,19792.0,20780.0,60820.0,500.0,46480.13,12.0,0.2044,0.005
2012-06-10,BTC,5.43,307.0,45623056.0,22437.0,26305.0,60686.0,500.0,53207.84,12.0,0.2094,0.005
2012-06-11,BTC,5.53,658.0,46477069.0,25087.0,42650.0,60550.0,500.0,34112.21,19.0,0.2154,0.005
2012-06-12,BTC,5.9,1824.0,49601479.0,25755.0,39845.0,60413.0,500.0,63695.3,16.0,0.3056,0.005
2012-06-13,BTC,5.95,8693.0,50036688.0,23949.0,40715.0,60275.0,500.0,74057.98,6.0,0.3054,0.005
2012-06-14,BTC,5.87,3608.0,49378584.0,21037.0,60366.0,60135.0,500.0,80323.32,13.0,0.3091,0.005
2012-06-15,BTC,6.08,2171.0,51160292.0,19225.0,29037.0,59994.0,500.0,53664.3,21.0,0.3237,0.005
2012-06-16,BTC,6.4,1064.0,53868920.0,19891.0,32505.0,59852.0,500.0,45805.45,15.0,0.3599,0.005
2012-06-17,BTC,6.16,392.0,51864218.0,22550.0,20284.0,59709.0,500.0,34663.35,11.0,0.3937,0.005
2012-06-18,BTC,6.1,2308.0,51374280.0,25212.0,71371.0,59564.0,500.0,38339.05,48.0,0.3968,0.005
2012-06-19,BTC,6.26,1564.0,52737434.0,25885.0,47332.0,59419.0,500.0,45984.14,34.0,0.4027,0.005
2012-06-20,BTC,6.65,2003.0,56039599.0,24069.0,68590.0,59272.0,500.0,44936.24,34.0,0.4386,0.005
2012-06-21,BTC,6.64,608.0,55971909.0,21143.0,47713.0,59125.0,500.0,46602.29,16.0,0.4403,0.005
2012-06-22,BTC,6.59,898.0,55566890.0,19321.0,13711.0,58977.0,500.0,81527.31,75.0,0.4435,0.005
2012-06-23,BTC,6.36,1028.0,53643411.0,19991.0,42809.0,58828.0,500.0,60294.07,34.0,0.4692,0.005
2012-06-24,BTC,6.44,745.0,54334253.0,22663.0,53894.0,58678.0,500.0,49688.48,27.0,0.4669,0.005
2012-06-25,BTC,6.2,1889.0,52324856.0,25339.0,62157.0,58527.0,500.0,88997.3,35.0,0.4916,0.005
2012-06-26,BTC,6.44,2224.0,54366416.0,26014.0,44181.0,58376.0,500.0,65809.17,34.0,0.5026,0.005
2012-06-27,BTC,6.52,10667.0,55058056.0,24190.0,34434.0,58224.0,500.0,51568.91,26.0,0.5025,0.005
2012-06-28,BTC,6.5,4968.0,54905398.0,21249.0,64328.0,58072.0,500.0,36236.43,51.0,0.5042,0.005
2012-06-29,BTC,6.57,7716.0,55513093.0,19418.0,59596.0,57919.0,500.0,34506.93,25.0,0.5037,0.005
2012-06-30,BTC,6.54,1226.0,55275939.0,20091.0,14971.0,57766.0,500.0,85304.89,2.0,0.5053,0.005
2012-07-01,BTC,6.54,329.0,55292270.0,22777.0,63384.0,57613.0,500.0,81961.23,18.0,0.5055,0.005
2012-07-02,BTC,6.55,1671.0,55393171.0,25466.0,54398.0,57459.0,500.0,55987.04,16.0,0.5048,0.005
2012-07-03,BTC,6.47,2091.0,54732770.0,26145.0,34924.0,57305.0,500.0,49286.15,6.0,0.5081,0.005
2012-07-04,BTC,6.49,1612.0,54918166.0,24311.0,58964.0,57151.0,500.0,62947.81,28.0,0.5083,0.005
2012-07-05,BTC,6.66,1703.0,56373331.0,21355.0,40315.0,56996.0,500.0,52288.34,6.0,0.5109,0.005
2012-07-06,BTC,6.58,1351.0,55712605.0,19515.0,54798.0,56842.0,500.0,49228.25,30.0,0.51,0.005
2012-07-07,BTC,6.66,1017.0,56406592.0,20192.0,44292.0,56687.0,500.0,59098.4,7.0,0.5098,0.005
2012-07-08,BTC,6.77,1609.0,57355138.0,22891.0,28441.0,56533.0,500.0,55347.14,23.0,0.5074,0.005
2012-07-09,BTC,6.67,1333.0,56524599.0,25594.0,60617.0,56379.0,500.0,70043.32,30.0,0.5086,0.005
2012-07-10,BTC,7.0,1672.0,59338648.0,26276.0,68269.0,56225.0,500.0,49830.74,33.0,0.5206,0.005
2012-07-11,BTC,7.1,975.0,60204072.0,24433.0,62705.0,56071.0,500.0,61514.73,27.0,0.5199,0.005
2012-07-12,BTC,7.1,1703.0,60221802.0,21462.0,65744.0,55917.0,500.0,54171.72,40.0,0.4762,0.005
2012-07-13,BTC,7.65,1826.0,64905974.0,19613.0,66658.0,55764.0,500.0,66273.15,43.0,0.5368,0.005
2012-07-14,BTC,7.44,471.0,63142820.0,20293.0,28568.0,55611.0,500.0,61900.87,20.0,0.5462,0.005
2012-07-15,BTC,7.4,472.0,62821821.0,23005.0,65114.0,55459.0,500.0,83745.93,43.0,0.539,0.005
2012-07-16,BTC,8.05,3321.0,68360056.0,25722.0,100494.0,55307.0,500.0,63488.11,28.0,0.5883,0.005
2012-07-17,BTC,8.42,3653.0,71523096.0,26407.0,25524.0,55155.0,500.0,40715.25,15.0,0.5788,0.005
2012-07-18,BTC,9.1,3010.0,77322032.0,24555.0,31166.0,55005.0,500.0,62098.21,9.0,0.6226,0.005
2012-07-19,BTC,9.2,2211.0,78194698.0,21570.0,20168.0,54855.0,500.0,37800.38,2.0,0.621,0.005
2012-07-20,BTC,8.53,1747.0,72521385.0,19711.0,62239.0,54706.0,500.0,81836.17,15.0,0.6645,0.005
2012-07-21,BTC,8.86,2421.0,75349143.0,20395.0,64324.0,54558.0,500.0,52118.49,26.0,0.6713,0.005
2012-07-22,BTC,8.64,1351.0,73499746.0,23121.0,93596.0,54410.0,500.0,55982.97,50.0,0.6797,0.005
2012-07-23,BTC,8.78,2524.0,74712639.0,25851.0,61318.0,54264.0,500.0,64300.59,42.0,0.6607,0.005
2012-07-24,BTC,8.57,1316.0,72947063.0,26540.0,27234.0,54118.0,500.0,57942.69,16.0,0.672,0.005
2012-07-25,BTC,8.49,706.0,72287311.0,24678.0,77309.0,53974.0,500.0,105745.49,43.0,0.654,0.005
2012-07-26,BTC,8.61,1749.0,73330540.0,21678.0,78191.0,53830.0,500.0,45673.37,57.0,0.6465,0.005
2012-07-27,BTC,8.83,989.0,75226308.0,19810.0,80527.0,53688.0,500.0,45939.2,39.0,0.6487,0.005
2012-07-28,BTC,8.9,1477.0,75844891.0,20497.0,34606.0,53547.0,500.0,64709.56,14.0,0.6469,0.005
2012-07-29,BTC,8.72,656.0,74332724.0,23237.0,50645.0,53408.0,500.0,61562.4,17.0,0.656,0.005
2012-07-30,BTC,8.9,2246.0,75889339.0,25980.0,93870.0,53269.0,500.0,61117.62,40.0,0.6549,0.005
2012-07-31,BTC,9.2,1447.0,78470380.0,26673.0,80067.0,53132.0,500.0,48166.08,52.0,0.6584,0.005
2012-08-01,BTC,9.36,1972.0,79858456.0,24802.0,60965.0,52997.0,500.0,61860.78,183.0,0.6575,0.005
2012-08-02,BTC,9.81,2597.0,83722301.0,21787.0,32551.0,52863.0,500.0,37794.2,24.0,0.6626,0.005
2012-08-03,BTC,10.86,2109.0,92710522.0,19910.0,66063.0,52731.0,500.0,100173.94,21.0,0.7352,0.005
2012-08-04,BTC,10.97,734.0,93676973.0,20600.0,97708.0,52600.0,500.0,65079.03,19.0,0.7351,0.005
2012-08-05,BTC,10.4,1673.0,88835498.0,23353.0,89442.0,52471.0,500.0,72770.97,18.0,0.7677,0.005
2012-08-06,BTC,10.84,2259.0,92620991.0,26111.0,113649.0,52343.0,500.0,63656.32,380.0,0.7729,0.005
2012-08-07,BTC,10.74,865.0,91793373.0,26807.0,45314.0,52218.0,500.0,51009.97,8.0,0.7784,0.005
2012-08-08,BTC,10.96,3223.0,93701053.0,24926.0,103901.0,52094.0,500.0,54560.59,12.0,0.7703,0.005
2012-08-09,BTC,11.09,2322.0,94840163.0,21896.0,28325.0,51972.0,500.0,55354.45,12.0,0.7618,0.005
2012-08-10,BTC,11.25,2513.0,96236554.0,20009.0,68004.0,51852.0,500.0,46624.19,8.0,0.7618,0.005
